Year,Quarter,Period of coverage,Person level weight used,Breakdown,Level,Employment rate of people with long-term conditions,Employment rate of population ,Indicator value,Long-term condition numerator,Long-term condition denominator,Population numerator,Population denominator
2017,4,01/10/2017 to 31/12/2017,2017 person level weights,Age,35 to 39,72.1,84.7,12.6,634000,879100,3087800,3644800
2017,4,01/10/2017 to 31/12/2017,2017 person level weights,Age,40 to 44,72.9,86.2,13.3,679600,932400,2915800,3383500
2017,4,01/10/2017 to 31/12/2017,2017 person level weights,Age,45 to 49,72.5,85.2,12.7,907400,1252000,3228700,3791200
2017,4,01/10/2017 to 31/12/2017,2017 person level weights,Age,50 to 54,72.3,83.3,11.1,1083100,1499000,3229500,3875600
2017,4,01/10/2017 to 31/12/2017,2017 person level weights,Age,55 to 59,63.5,75.3,11.8,959600,1510500,2629000,3491200
2017,4,01/10/2017 to 31/12/2017,2017 person level weights,Age,60 to 64,45.8,53,7.2,705100,1540000,1580300,2983700
2017,3,01/07/2017 to 30/09/2017,2017 person level weights,Age,16 to 19,31.4,35.6,4.1,161500,514400,871300,2450700
2017,3,01/07/2017 to 30/09/2017,2017 person level weights,Age,20 to 24,54,68.6,14.6,436700,808100,2400500,3498400
2017,3,01/07/2017 to 30/09/2017,2017 person level weights,Age,25 to 29,71.5,84.4,12.9,561900,786200,3247000,3848100
2017,3,01/07/2017 to 30/09/2017,2017 person level weights,Age,30 to 34,71.8,83.8,12,569200,792900,3138600,3746000
2017,3,01/07/2017 to 30/09/2017,2017 person level weights,Age,35 to 39,71.6,84.5,12.9,619800,865700,3064800,3625400
2017,3,01/07/2017 to 30/09/2017,2017 person level weights,Age,40 to 44,71.4,84.6,13.2,688200,964500,2872800,3397100
2017,3,01/07/2017 to 30/09/2017,2017 person level weights,Age,45 to 49,71.7,84.9,13.3,909200,1268300,3232400,3805100
2017,3,01/07/2017 to 30/09/2017,2017 person level weights,Age,50 to 54,71.9,83.6,11.7,1087900,1513600,3239400,3874600
2017,3,01/07/2017 to 30/09/2017,2017 person level weights,Age,55 to 59,61.8,73.9,12.2,952200,1541300,2564000,3468100
2017,3,01/07/2017 to 30/09/2017,2017 person level weights,Age,60 to 64,45.3,53.1,7.8,692300,1529600,1575500,2968600
2017,2,01/04/2017 to 30/06/2017,2017 person level weights,Age,16 to 19,31.5,34.7,3.2,145300,460600,854500,2462400
2017,2,01/04/2017 to 30/06/2017,2017 person level weights,Age,20 to 24,54.4,67.4,12.9,388000,712700,2361000,3504800
2017,2,01/04/2017 to 30/06/2017,2017 person level weights,Age,25 to 29,73.6,83.7,10.1,549400,746800,3216200,3841800
2017,2,01/04/2017 to 30/06/2017,2017 person level weights,Age,30 to 34,71.2,83.2,12,546100,767100,3110600,3738000
2017,2,01/04/2017 to 30/06/2017,2017 person level weights,Age,35 to 39,73.2,85,11.7,612600,836400,3063500,3605500
2017,2,01/04/2017 to 30/06/2017,2017 person level weights,Age,40 to 44,68.5,83.9,15.4,636600,929900,2864300,3414200
2017,2,01/04/2017 to 30/06/2017,2017 person level weights,Age,45 to 49,73.2,85.7,12.5,905500,1236800,3270000,3817100
2017,2,01/04/2017 to 30/06/2017,2017 person level weights,Age,50 to 54,70.4,83.2,12.8,991300,1409000,3220800,3871100
2017,2,01/04/2017 to 30/06/2017,2017 person level weights,Age,55 to 59,62.7,74.7,11.9,938600,1496300,2571600,3444500
2017,2,01/04/2017 to 30/06/2017,2017 person level weights,Age,60 to 64,43.8,52.4,8.6,647100,1478100,1548600,2954400
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Age,16 to 19,29.1,35.7,6.5,128400,440800,883200,2475400
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Age,20 to 24,56.4,67.5,11.1,401400,711700,2370300,3510800
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Age,25 to 29,72.2,82.5,10.3,554400,768000,3157900,3828900
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Age,30 to 34,69.4,82.8,13.4,499200,719100,3093000,3733400
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Age,35 to 39,71.8,83.6,11.8,579600,807200,2996000,3584000
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Age,40 to 44,69.3,83.8,14.4,634700,915500,2879800,3438100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Age,45 to 49,72.7,85.3,12.6,888900,1223200,3263700,3826000
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Age,50 to 54,71.1,83.2,12.1,1012600,1424700,3214600,3864200
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Age,55 to 59,62.2,74.4,12.2,929300,1494700,2542800,3419500
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Age,60 to 64,43.4,52.8,9.4,659900,1521400,1553000,2941700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Age,16 to 19,34.8,37.8,3,163200,468800,940300,2486800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Age,20 to 24,57.6,69,11.4,429500,745400,2428100,3516400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Age,25 to 29,72,82,10,537300,746500,3130200,3816100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Age,30 to 34,69.6,82.5,12.9,515300,740300,3077800,3728700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Age,35 to 39,71.6,83.8,12.1,600700,838700,2984300,3562700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Age,40 to 44,70.1,83.6,13.5,660200,942200,2892700,3461200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Age,45 to 49,73.8,85.3,11.5,920500,1247800,3271400,3835100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Age,50 to 54,71.4,83.3,11.9,1045300,1463400,3213100,3855600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Age,55 to 59,61.2,74.2,13,922900,1508600,2518900,3394400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Age,60 to 64,43.8,52.5,8.6,653800,1491800,1536400,2929100
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Age,16 to 19,33.7,36.5,2.8,160700,476900,911100,2498900
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Age,20 to 24,57.8,69.4,11.6,437600,757600,2444300,3522600
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Age,25 to 29,70.2,82,11.8,504800,719300,3119400,3803200
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Age,30 to 34,69,82.6,13.6,514600,745400,3076800,3724000
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Age,35 to 39,69,83.6,14.5,586000,848900,2959600,3541300
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Age,40 to 44,71.2,83.3,12.1,682400,958800,2902600,3485700
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Age,45 to 49,72.4,85,12.6,889200,1227500,3268700,3844100
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Age,50 to 54,69.9,83.1,13.3,995200,1423900,3199400,3847800
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Age,55 to 59,61.8,73.9,12,927300,1499900,2488300,3369300
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Age,60 to 64,42.6,52.8,10.2,635200,1490400,1539500,2916400
2016,2,01/04/2016 to 30/06/2016,2016 person level weights,Age,16 to 19,29,34.7,5.7,131300,452600,870500,2509600
2016,2,01/04/2016 to 30/06/2016,2016 person level weights,Age,20 to 24,56.9,67.2,10.3,403600,709800,2370000,3529100
2016,2,01/04/2016 to 30/06/2016,2016 person level weights,Age,25 to 29,70.9,81.8,10.9,519600,732500,3101100,3789400
2016,2,01/04/2016 to 30/06/2016,2016 person level weights,Age,30 to 34,71,83.1,12.1,518300,729700,3090300,3719300
2016,2,01/04/2016 to 30/06/2016,2016 person level weights,Age,35 to 39,69.1,83.4,14.2,564100,815900,2934900,3520300
2016,2,01/04/2016 to 30/06/2016,2016 person level weights,Age,40 to 44,70.8,83.5,12.7,673800,951700,2930800,3510000
2016,2,01/04/2016 to 30/06/2016,2016 person level weights,Age,45 to 49,70.7,84.7,14,872700,1233900,3261000,3851100
2016,2,01/04/2016 to 30/06/2016,2016 person level weights,Age,50 to 54,68.6,82.5,13.9,964600,1406300,3165200,3838000
2016,2,01/04/2016 to 30/06/2016,2016 person level weights,Age,55 to 59,62.3,74.2,11.9,929900,1492600,2483300,3344700
2016,2,01/04/2016 to 30/06/2016,2016 person level weights,Age,60 to 64,42.7,52.9,10.2,624800,1462800,1538700,2906100
2016b,1,01/01/2016 to 31/03/2016,2016 person level weights,Age,16 to 19,30.1,36,5.9,143500,475900,906800,2517500
2016b,1,01/01/2016 to 31/03/2016,2016 person level weights,Age,20 to 24,55.4,67.1,11.6,401900,725200,2371700,3536800
2016b,1,01/01/2016 to 31/03/2016,2016 person level weights,Age,25 to 29,67.5,81.3,13.7,514200,761300,3066700,3773600
2016b,1,01/01/2016 to 31/03/2016,2016 person level weights,Age,30 to 34,68.5,82.4,13.9,503900,735200,3061900,3714600
2016b,1,01/01/2016 to 31/03/2016,2016 person level weights,Age,35 to 39,68.9,83.6,14.7,552500,802000,2926500,3500000
2016b,1,01/01/2016 to 31/03/2016,2016 person level weights,Age,40 to 44,70,83.8,13.8,691700,988000,2964800,3537000
2016b,1,01/01/2016 to 31/03/2016,2016 person level weights,Age,45 to 49,70.7,84.5,13.8,868800,1229500,3255700,3854100
2016b,1,01/01/2016 to 31/03/2016,2016 person level weights,Age,50 to 54,69,82.2,13.2,968500,1404200,3141800,3823800
2016b,1,01/01/2016 to 31/03/2016,2016 person level weights,Age,55 to 59,61,73.8,12.8,916300,1503200,2450800,3320800
2016b,1,01/01/2016 to 31/03/2016,2016 person level weights,Age,60 to 64,40.8,51.2,10.4,608300,1489500,1485300,2900100
2015,4,01/10/2015 to 31/12/2015,2014 person level weights,Age,16 to 19,30.9,37.1,6.2,132700,429300,930500,2509200
2015,4,01/10/2015 to 31/12/2015,2014 person level weights,Age,20 to 24,55.8,68.6,12.8,374100,670800,2415700,3522500
2015,4,01/10/2015 to 31/12/2015,2014 person level weights,Age,25 to 29,67.5,81.6,14,510100,755200,3057900,3748200
2015,4,01/10/2015 to 31/12/2015,2014 person level weights,Age,30 to 34,65.9,82.4,16.5,479100,726600,3044600,3693500
2015,4,01/10/2015 to 31/12/2015,2014 person level weights,Age,35 to 39,69.3,83.7,14.4,523700,755600,2896400,3461300
2015,4,01/10/2015 to 31/12/2015,2014 person level weights,Age,40 to 44,69.4,84.4,15,659800,951000,2987500,3538900
2015,4,01/10/2015 to 31/12/2015,2014 person level weights,Age,45 to 49,68.3,83.7,15.4,822100,1203500,3211300,3837900
2015,4,01/10/2015 to 31/12/2015,2014 person level weights,Age,50 to 54,68.1,81.9,13.7,969700,1423200,3108300,3796800
2015,4,01/10/2015 to 31/12/2015,2014 person level weights,Age,55 to 59,62.5,74.2,11.7,933300,1493500,2436700,3282800
2015,4,01/10/2015 to 31/12/2015,2014 person level weights,Age,60 to 64,41.6,51.8,10.2,616700,1483100,1493800,2884000
2015,3,01/07/2015 to 30/09/2015,2014 person level weights,Age,16 to 19,31.2,37.6,6.4,141100,452200,946300,2518100
2015,3,01/07/2015 to 30/09/2015,2014 person level weights,Age,20 to 24,57.7,69.8,12,386900,669900,2465200,3532700
2015,3,01/07/2015 to 30/09/2015,2014 person level weights,Age,25 to 29,65.2,80.4,15.2,483600,741900,3002800,3734800
2015,3,01/07/2015 to 30/09/2015,2014 person level weights,Age,30 to 34,67.6,82.7,15.1,487800,721600,3052100,3689900
2015,3,01/07/2015 to 30/09/2015,2014 person level weights,Age,35 to 39,67.8,82.8,15,543400,801900,2849600,3441700
2015,3,01/07/2015 to 30/09/2015,2014 person level weights,Age,40 to 44,66.9,83.2,16.3,641600,958500,2968800,3567600
2015,3,01/07/2015 to 30/09/2015,2014 person level weights,Age,45 to 49,69,84,15,850900,1233000,3226100,3842200
2015,3,01/07/2015 to 30/09/2015,2014 person level weights,Age,50 to 54,67,81.4,14.4,962100,1436000,3078200,3783000
2015,3,01/07/2015 to 30/09/2015,2014 person level weights,Age,55 to 59,61.8,74.1,12.3,946300,1530200,2415100,3259500
2015,3,01/07/2015 to 30/09/2015,2014 person level weights,Age,60 to 64,40.1,50.5,10.4,589000,1469000,1453700,2878800
2015,2,01/04/2015 to 30/06/2015,2014 person level weights,Age,16 to 19,29,34.4,5.4,132200,455600,869900,2525500
2015,2,01/04/2015 to 30/06/2015,2014 person level weights,Age,20 to 24,54.2,64.8,10.7,365500,674700,2296500,3542000
2015,2,01/04/2015 to 30/06/2015,2014 person level weights,Age,25 to 29,65.3,79.7,14.4,475600,728400,2966100,3722900
2015,2,01/04/2015 to 30/06/2015,2014 person level weights,Age,30 to 34,66.3,81.6,15.3,475100,716500,3007700,3686500
2015,2,01/04/2015 to 30/06/2015,2014 person level weights,Age,35 to 39,67.9,83,15.1,552000,813400,2840200,3423300
2015,2,01/04/2015 to 30/06/2015,2014 person level weights,Age,40 to 44,68.6,83.8,15.1,673900,981700,3010500,3593100
2015,2,01/04/2015 to 30/06/2015,2014 person level weights,Age,45 to 49,69.2,83.7,14.5,858800,1240300,3221900,3848400
2015,2,01/04/2015 to 30/06/2015,2014 person level weights,Age,50 to 54,67.7,81.5,13.9,954800,1411300,3072300,3767400
2015,2,01/04/2015 to 30/06/2015,2014 person level weights,Age,55 to 59,62.6,73.9,11.3,933300,1489800,2393300,3236800
2015,2,01/04/2015 to 30/06/2015,2014 person level weights,Age,60 to 64,40.5,50.5,10,599700,1479300,1453000,2876600
2015,1,01/01/2015 to 31/03/2015,2014 person level weights,Age,16 to 19,27.5,34.8,7.3,122500,446000,879200,2529700
2015,1,01/01/2015 to 31/03/2015,2014 person level weights,Age,20 to 24,53.3,64.8,11.5,343300,644000,2301100,3549400
2015,1,01/01/2015 to 31/03/2015,2014 person level weights,Age,25 to 29,64.5,79.4,14.9,435900,675600,2948500,3714600
2015,1,01/01/2015 to 31/03/2015,2014 person level weights,Age,30 to 34,66.6,82.1,15.5,468000,703000,3023500,3683800
2015,1,01/01/2015 to 31/03/2015,2014 person level weights,Age,35 to 39,69,82.6,13.5,554800,803500,2812900,3407000
2015,1,01/01/2015 to 31/03/2015,2014 person level weights,Age,40 to 44,70.1,84.3,14.2,693300,989400,3046700,3614000
2015,1,01/01/2015 to 31/03/2015,2014 person level weights,Age,45 to 49,70,84.2,14.2,864900,1236100,3247300,3858200
2015,1,01/01/2015 to 31/03/2015,2014 person level weights,Age,50 to 54,68.1,81.9,13.8,944600,1386400,3068100,3745300
2015,1,01/01/2015 to 31/03/2015,2014 person level weights,Age,55 to 59,62.5,74.2,11.7,915100,1463200,2387300,3215700
2015,1,01/01/2015 to 31/03/2015,2014 person level weights,Age,60 to 64,40.5,49.8,9.3,602400,1488400,1433500,2880300
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,Age,16 to 19,27.3,35.9,8.7,117500,431300,910600,2533800
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,Age,20 to 24,55.2,65.9,10.7,355800,644500,2345600,3556900
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,Age,25 to 29,65.6,79.4,13.7,418400,637400,2941200,3706000
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,Age,30 to 34,65.9,81.9,16,452200,686500,3013200,3680900
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,Age,35 to 39,68.3,82.5,14.1,550900,806100,2796200,3391000
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,Age,40 to 44,69.8,84,14.2,707900,1014500,3052200,3634600
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,Age,45 to 49,70.3,84.9,14.6,879800,1252000,3284400,3868100
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,Age,50 to 54,68.1,82.2,14.1,934800,1372100,3062100,3723600
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,Age,55 to 59,62.1,73.9,11.8,896100,1442500,2361300,3194400
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,Age,60 to 64,40.7,49.4,8.7,612500,1505600,1425100,2884300
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,Age,16 to 19,26.4,34.8,8.5,115600,438700,884100,2537800
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,Age,20 to 24,56.2,67.9,11.7,378000,672900,2419300,3564400
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,Age,25 to 29,65.5,78.9,13.4,431600,659300,2915500,3697500
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,Age,30 to 34,67.7,82,14.3,447500,661300,3015000,3678400
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,Age,35 to 39,67.1,82.4,15.4,535400,798400,2782400,3374900
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,Age,40 to 44,69.4,83.6,14.3,706600,1018500,3057100,3655400
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,Age,45 to 49,69.9,84.3,14.4,868000,1241600,3271200,3878100
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,Age,50 to 54,68.3,82.2,13.9,951500,1393100,3042300,3702100
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,Age,55 to 59,61.8,73.3,11.4,906700,1466800,2324600,3173200
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,Age,60 to 64,40.1,48.7,8.6,602100,1501100,1405200,2887800
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,Age,16 to 19,24,31.9,7.9,95700,399200,780600,2448300
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,Age,20 to 24,54.7,65.4,10.7,343900,629200,2330500,3565000
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,Age,25 to 29,65,78.6,13.6,455700,701200,3041700,3871000
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,Age,30 to 34,69.5,82.6,13.1,460200,662500,2982100,3610200
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,Age,35 to 39,67.6,82.5,14.9,512000,757200,2700100,3271300
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,Age,40 to 44,68.9,83.6,14.6,681300,988300,3037700,3635700
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,Age,45 to 49,69.4,84.4,15,839500,1209000,3291800,3898300
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,Age,50 to 54,67.2,81.4,14.2,911500,1356100,2977000,3658400
